"","mu1","mu2","choice","reward"
"787",6,-16,0,7
"788",6,-16,0,6
"789",6,-16,0,6
"790",6,-16,0,5
"791",21,-3,0,22
"792",21,-3,0,21
"793",21,-3,0,23
"794",21,-3,0,21
"795",21,-3,0,19
"796",21,-3,0,22
"797",21,-3,0,21
"798",21,-3,0,19
"799",21,-3,0,21
"800",21,-3,0,21
"801",12,2,0,12
"802",12,2,0,11
"803",12,2,0,13
"804",12,2,0,12
"805",12,2,0,12
"806",12,2,0,12
"807",12,2,0,11
"808",12,2,1,2
"809",12,2,0,13
"810",12,2,0,13
"811",4,14,1,14
"812",4,14,1,14
"813",4,14,1,14
"814",4,14,0,4
"815",4,14,1,14
"816",4,14,1,14
"817",4,14,1,14
"818",4,14,1,15
"819",4,14,1,14
"820",4,14,1,14
"821",-20,-7,1,-5
"822",-20,-7,0,-18
"823",-20,-7,1,-7
"824",-20,-7,1,-7
"825",-20,-7,1,-6
"826",-20,-7,1,-6
"827",-20,-7,0,-19
"828",-20,-7,1,-7
"829",-20,-7,1,-8
"830",-20,-7,1,-6
"831",-15,-4,1,-4
"832",-15,-4,0,-13
"833",-15,-4,1,-5
"834",-15,-4,1,-4
"835",-15,-4,1,-6
"836",-15,-4,1,-3
"837",-15,-4,1,-5
"838",-15,-4,1,-6
"839",-15,-4,1,-3
"840",-15,-4,1,-3
"841",16,13,1,11
"842",16,13,0,17
"843",16,13,0,16
"844",16,13,0,16
"845",16,13,0,17
"846",16,13,0,16
"847",16,13,0,14
"848",16,13,0,16
"849",16,13,0,14
"850",16,13,0,16
"851",-9,-9,1,-10
"852",-9,-9,0,-10
"853",-9,-9,0,-8
"854",-9,-9,0,-9
"855",-9,-9,1,-9
"856",-9,-9,1,-9
"857",-9,-9,0,-7
"858",-9,-9,0,-9
"859",-9,-9,0,-10
"860",-9,-9,0,-10
"861",6,7,1,7
"862",6,7,0,5
"863",6,7,1,8
"864",6,7,1,5
"865",6,7,1,7
"866",6,7,1,7
"867",6,7,1,6
"868",6,7,1,7
"869",6,7,1,7
"870",6,7,1,8
"871",14,9,1,9
"872",14,9,0,14
"873",14,9,0,12
"874",14,9,0,15
"875",14,9,0,13
"876",14,9,0,14
"877",14,9,0,13
"878",14,9,0,12
"879",14,9,0,14
"880",14,9,0,15
"881",-7,22,0,-7
"882",-7,22,1,22
"883",-7,22,1,24
"884",-7,22,1,22
"885",-7,22,1,22
"886",-7,22,1,21
"887",-7,22,1,21
"888",-7,22,1,23
"889",-7,22,1,21
"890",-7,22,1,22
"891",-1,-1,1,-2
"892",-1,-1,0,-1
"893",-1,-1,0,0
"894",-1,-1,0,-3
"895",-1,-1,0,-2
"896",-1,-1,0,0
"897",-1,-1,0,-1
"898",-1,-1,0,-1
"899",-1,-1,0,-1
"900",-1,-1,0,0
"901",-3,-17,1,-16
"902",-3,-17,0,-4
"903",-3,-17,0,-2
"904",-3,-17,0,-4
"905",-3,-17,0,-4
"906",-3,-17,0,-2
"907",-3,-17,0,-3
"908",-3,-17,0,-2
"909",-3,-17,0,-4
"910",-3,-17,0,-4
"911",0,1,1,1
"912",0,1,0,1
"913",0,1,0,0
"914",0,1,1,1
"915",0,1,1,0
"916",0,1,1,1
"917",0,1,1,1
"918",0,1,1,2
"919",0,1,1,2
"920",0,1,1,0
"921",11,-5,1,-5
"922",11,-5,0,11
"923",11,-5,0,10
"924",11,-5,0,12
"925",11,-5,0,11
"926",11,-5,0,10
"927",11,-5,0,10
"928",11,-5,0,12
"929",11,-5,0,10
"930",11,-5,0,10
"931",2,-10,0,0
"932",2,-10,1,-9
"933",2,-10,0,2
"934",2,-10,0,1
"935",2,-10,0,3
"936",2,-10,0,4
"937",2,-10,0,2
"938",2,-10,0,2
"939",2,-10,0,3
"940",2,-10,0,3
"941",4,-10,0,5
"942",4,-10,1,-10
"943",4,-10,0,4
"944",4,-10,0,7
"945",4,-10,0,4
"946",4,-10,0,4
"947",4,-10,0,5
"948",4,-10,0,5
"949",4,-10,0,4
"950",4,-10,0,3
"951",21,-12,0,22
"952",21,-12,1,-13
"953",21,-12,0,20
"954",21,-12,0,22
"955",21,-12,0,22
"956",21,-12,0,21
"957",21,-12,0,21
"958",21,-12,0,22
"959",21,-12,0,21
"960",21,-12,0,21
"961",-1,-11,0,-1
"962",-1,-11,1,-13
"963",-1,-11,0,0
"964",-1,-11,0,-3
"965",-1,-11,0,0
"966",-1,-11,0,-2
"967",-1,-11,0,-1
"968",-1,-11,0,-2
"969",-1,-11,0,-2
"970",-1,-11,0,-2
"971",3,6,0,1
"972",3,6,1,4
"973",3,6,1,6
"974",3,6,1,5
"975",3,6,1,6
"976",3,6,1,5
"977",3,6,1,5
"978",3,6,1,5
"979",3,6,1,8
"980",3,6,1,5
"981",3,-11,1,-12
"982",3,-11,0,4
"983",3,-11,0,3
"984",3,-11,0,2
"985",3,-11,0,3
"986",3,-11,0,3
"987",3,-11,0,3
"988",3,-11,0,3
"989",3,-11,0,3
"990",3,-11,0,3
"991",4,-7,0,3
"992",4,-7,1,-7
"993",4,-7,0,5
"994",4,-7,0,3
"995",4,-7,0,3
"996",4,-7,0,4
"997",4,-7,0,1
"998",4,-7,0,5
"999",4,-7,0,5
"1000",4,-7,0,5
"1001",0,-8,1,-8
"1002",0,-8,0,0
"1003",0,-8,1,-9
"1004",0,-8,0,1
"1005",0,-8,0,1
"1006",0,-8,0,0
"1007",0,-8,0,-1
"1008",0,-8,0,-1
"1009",0,-8,1,-6
"1010",0,-8,0,-1
"1011",-6,-8,0,-7
"1012",-6,-8,1,-7
"1013",-6,-8,1,-8
"1014",-6,-8,0,-7
"1015",-6,-8,0,-6
"1016",-6,-8,0,-6
"1017",-6,-8,1,-9
"1018",-6,-8,1,-7
"1019",-6,-8,0,-6
"1020",-6,-8,0,-5
"1021",-13,-8,1,-8
"1022",-13,-8,0,-13
"1023",-13,-8,1,-8
"1024",-13,-8,0,-13
"1025",-13,-8,1,-8
"1026",-13,-8,1,-7
"1027",-13,-8,1,-10
"1028",-13,-8,1,-8
"1029",-13,-8,1,-8
"1030",-13,-8,0,-12
"1031",8,-4,1,-3
"1032",8,-4,1,-4
"1033",8,-4,1,-4
"1034",8,-4,0,8
"1035",8,-4,0,8
"1036",8,-4,0,9
"1037",8,-4,0,6
"1038",8,-4,0,10
"1039",8,-4,0,7
"1040",8,-4,0,8
"1041",6,4,1,5
"1042",6,4,0,7
"1043",6,4,0,6
"1044",6,4,1,4
"1045",6,4,0,6
"1046",6,4,0,6
"1047",6,4,1,6
"1048",6,4,0,4
"1049",6,4,1,4
"1050",6,4,0,7
"1051",9,-1,1,-1
"1052",9,-1,0,9
"1053",9,-1,0,9
"1054",9,-1,0,9
"1055",9,-1,0,8
"1056",9,-1,0,7
"1057",9,-1,0,9
"1058",9,-1,0,9
"1059",9,-1,0,10
"1060",9,-1,0,9
"1061",19,4,1,3
"1062",19,4,0,18
"1063",19,4,0,17
"1064",19,4,0,19
"1065",19,4,0,20
"1066",19,4,0,18
"1067",19,4,0,18
"1068",19,4,0,18
"1069",19,4,0,19
"1070",19,4,0,19
"1071",-9,20,1,20
"1072",-9,20,0,-9
"1073",-9,20,1,20
"1074",-9,20,1,19
"1075",-9,20,1,19
"1076",-9,20,1,21
"1077",-9,20,1,20
"1078",-9,20,1,21
"1079",-9,20,1,20
"1080",-9,20,1,20
"1081",9,5,1,5
"1082",9,5,0,10
"1083",9,5,0,8
"1084",9,5,0,8
"1085",9,5,0,9
"1086",9,5,0,9
"1087",9,5,0,8
"1088",9,5,0,9
"1089",9,5,0,9
"1090",9,5,0,9
"1091",-4,-6,1,-5
"1092",-4,-6,0,-4
"1093",-4,-6,1,-6
"1094",-4,-6,0,-2
"1095",-4,-6,1,-6
"1096",-4,-6,0,-3
"1097",-4,-6,1,-6
"1098",-4,-6,0,-4
"1099",-4,-6,0,-4
"1100",-4,-6,0,-4
"1101",4,-20,1,-19
"1102",4,-20,0,5
"1103",4,-20,0,3
"1104",4,-20,0,5
"1105",4,-20,0,4
"1106",4,-20,0,3
"1107",4,-20,0,5
"1108",4,-20,0,4
"1109",4,-20,0,4
"1110",4,-20,0,3
"1111",-18,-9,1,-9
"1112",-18,-9,0,-18
"1113",-18,-9,1,-8
"1114",-18,-9,1,-9
"1115",-18,-9,1,-9
"1116",-18,-9,1,-9
"1117",-18,-9,1,-9
"1118",-18,-9,1,-9
"1119",-18,-9,1,-10
"1120",-18,-9,1,-9
"1121",-3,-1,1,-1
"1122",-3,-1,0,-3
"1123",-3,-1,1,-1
"1124",-3,-1,1,-1
"1125",-3,-1,1,0
"1126",-3,-1,1,-2
